field_name,field_type
ADX+DI_20ADX+DI_20ADX+DI_20|1ADX+DI_20|5ADX+DI_20|15ADX+DI_20|30ADX+DI_20|60ADX+DI_20|120ADX+DI_20|240ADX+DI_20|1WADX+DI_20|1M,number
ADX+DI_100ADX+DI_100|1ADX+DI_100|5ADX+DI_100|15ADX+DI_100|30ADX+DI_100|60ADX+DI_100|120ADX+DI_100|240ADX+DI_100|1WADX+DI_100|1MADX+DI_100,number
ADX+DI_100[1]ADX+DI_100[1]ADX+DI_100[1]|1ADX+DI_100[1]|5ADX+DI_100[1]|15ADX+DI_100[1]|30ADX+DI_100[1]|60ADX+DI_100[1]|120ADX+DI_100[1]|240ADX+DI_100[1]|1WADX+DI_100[1]|1M,number
ADX+DI_50ADX+DI_50ADX+DI_50|1ADX+DI_50|5ADX+DI_50|15ADX+DI_50|30ADX+DI_50|60ADX+DI_50|120ADX+DI_50|240ADX+DI_50|1WADX+DI_50|1M,number
ADX+DI_20[1]ADX+DI_20[1]ADX+DI_20[1]|1ADX+DI_20[1]|5ADX+DI_20[1]|15ADX+DI_20[1]|30ADX+DI_20[1]|60ADX+DI_20[1]|120ADX+DI_20[1]|240ADX+DI_20[1]|1WADX+DI_20[1]|1M,number
ADX+DI_50[1]ADX+DI_50[1]ADX+DI_50[1]|1ADX+DI_50[1]|5ADX+DI_50[1]|15ADX+DI_50[1]|30ADX+DI_50[1]|60ADX+DI_50[1]|120ADX+DI_50[1]|240ADX+DI_50[1]|1WADX+DI_50[1]|1M,number
ADX+DI_9[1]ADX+DI_9[1]ADX+DI_9[1]|1ADX+DI_9[1]|5ADX+DI_9[1]|15ADX+DI_9[1]|30ADX+DI_9[1]|60ADX+DI_9[1]|120ADX+DI_9[1]|240ADX+DI_9[1]|1WADX+DI_9[1]|1M,number
ADX-DI[1]ADX-DI[1]ADX-DI[1]|1ADX-DI[1]|5ADX-DI[1]|15ADX-DI[1]|30ADX-DI[1]|60ADX-DI[1]|120ADX-DI[1]|240ADX-DI[1]|1WADX-DI[1]|1M,number
ADX-DI_9ADX-DI_9ADX-DI_9|1ADX-DI_9|5ADX-DI_9|15ADX-DI_9|30ADX-DI_9|60ADX-DI_9|120ADX-DI_9|240ADX-DI_9|1WADX-DI_9|1M,number
ADX-DI_20ADX-DI_20ADX-DI_20|1ADX-DI_20|5ADX-DI_20|15ADX-DI_20|30ADX-DI_20|60ADX-DI_20|120ADX-DI_20|240ADX-DI_20|1WADX-DI_20|1M,number
ADX-DI_100ADX-DI_100|1ADX-DI_100|5ADX-DI_100|15ADX-DI_100|30ADX-DI_100|60ADX-DI_100|120ADX-DI_100|240ADX-DI_100|1WADX-DI_100|1MADX-DI_100,number
ADX-DI_100[1]ADX-DI_100[1]ADX-DI_100[1]|1ADX-DI_100[1]|5ADX-DI_100[1]|15ADX-DI_100[1]|30ADX-DI_100[1]|60ADX-DI_100[1]|120ADX-DI_100[1]|240ADX-DI_100[1]|1WADX-DI_100[1]|1M,number
ADX-DI_50ADX-DI_50ADX-DI_50|1ADX-DI_50|5ADX-DI_50|15ADX-DI_50|30ADX-DI_50|60ADX-DI_50|120ADX-DI_50|240ADX-DI_50|1WADX-DI_50|1M,number
ADX-DI_20[1]ADX-DI_20[1]ADX-DI_20[1]|1ADX-DI_20[1]|5ADX-DI_20[1]|15ADX-DI_20[1]|30ADX-DI_20[1]|60ADX-DI_20[1]|120ADX-DI_20[1]|240ADX-DI_20[1]|1WADX-DI_20[1]|1M,number
ADX-DI_50[1]ADX-DI_50[1]ADX-DI_50[1]|1ADX-DI_50[1]|5ADX-DI_50[1]|15ADX-DI_50[1]|30ADX-DI_50[1]|60ADX-DI_50[1]|120ADX-DI_50[1]|240ADX-DI_50[1]|1WADX-DI_50[1]|1M,number
ADX-DI_9[1]ADX-DI_9[1]ADX-DI_9[1]|1ADX-DI_9[1]|5ADX-DI_9[1]|15ADX-DI_9[1]|30ADX-DI_9[1]|60ADX-DI_9[1]|120ADX-DI_9[1]|240ADX-DI_9[1]|1WADX-DI_9[1]|1M,number
ADX_9ADX_9ADX_9|1ADX_9|5ADX_9|15ADX_9|30ADX_9|60ADX_9|120ADX_9|240ADX_9|1WADX_9|1M,number
ADX_20ADX_20ADX_20|1ADX_20|5ADX_20|15ADX_20|30ADX_20|60ADX_20|120ADX_20|240ADX_20|1WADX_20|1M,number
ADX_100ADX_100|1ADX_100|5ADX_100|15ADX_100|30ADX_100|60ADX_100|120ADX_100|240ADX_100|1WADX_100|1MADX_100,number
ADX_50ADX_50ADX_50|1ADX_50|5ADX_50|15ADX_50|30ADX_50|60ADX_50|120ADX_50|240ADX_50|1WADX_50|1M,number
AO[1]AO[1]AO[1]|1AO[1]|5AO[1]|15AO[1]|30AO[1]|60AO[1]|120AO[1]|240AO[1]|1WAO[1]|1M,number
AO[2]AO[2]AO[2]|1AO[2]|5AO[2]|15AO[2]|30AO[2]|60AO[2]|120AO[2]|240AO[2]|1WAO[2]|1M,number
ATRPATRPATRP|1ATRP|5ATRP|15ATRP|30ATRP|60ATRP|120ATRP|240ATRP|1WATRP|1M,number
AvgValue.Traded_10d,number
AvgValue.Traded_30d,number
AvgValue.Traded_60d,number
AvgValue.Traded_90d,number
BB.basisBB.basisBB.basis|1BB.basis|5BB.basis|15BB.basis|30BB.basis|60BB.basis|120BB.basis|240BB.basis|1WBB.basis|1M,number
BB.basis_50BB.basis_50BB.basis_50|1BB.basis_50|5BB.basis_50|15BB.basis_50|30BB.basis_50|60BB.basis_50|120BB.basis_50|240BB.basis_50|1WBB.basis_50|1M,number
BB.lower_50BB.lower_50BB.lower_50|1BB.lower_50|5BB.lower_50|15BB.lower_50|30BB.lower_50|60BB.lower_50|120BB.lower_50|240BB.lower_50|1WBB.lower_50|1M,number
BB.upper_50BB.upper_50BB.upper_50|1BB.upper_50|5BB.upper_50|15BB.upper_50|30BB.upper_50|60BB.upper_50|120BB.upper_50|240BB.upper_50|1WBB.upper_50|1M,number
CCI20[1]CCI20[1]CCI20[1]|1CCI20[1]|5CCI20[1]|15CCI20[1]|30CCI20[1]|60CCI20[1]|120CCI20[1]|240CCI20[1]|1WCCI20[1]|1M,number
Candle.3BlackCrowsCandle.3BlackCrowsCandle.3BlackCrows|1Candle.3BlackCrows|5Candle.3BlackCrows|15Candle.3BlackCrows|30Candle.3BlackCrows|60Candle.3BlackCrows|120Candle.3BlackCrows|240Candle.3BlackCrows|1WCandle.3BlackCrows|1M,number
Candle.3WhiteSoldiersCandle.3WhiteSoldiersCandle.3WhiteSoldiers|1Candle.3WhiteSoldiers|5Candle.3WhiteSoldiers|15Candle.3WhiteSoldiers|30Candle.3WhiteSoldiers|60Candle.3WhiteSoldiers|120Candle.3WhiteSoldiers|240Candle.3WhiteSoldiers|1WCandle.3WhiteSoldiers|1M,number
Candle.AbandonedBaby.BearishCandle.AbandonedBaby.BearishCandle.AbandonedBaby.Bearish|1Candle.AbandonedBaby.Bearish|5Candle.AbandonedBaby.Bearish|15Candle.AbandonedBaby.Bearish|30Candle.AbandonedBaby.Bearish|60Candle.AbandonedBaby.Bearish|120Candle.AbandonedBaby.Bearish|240Candle.AbandonedBaby.Bearish|1WCandle.AbandonedBaby.Bearish|1M,number
Candle.AbandonedBaby.BullishCandle.AbandonedBaby.BullishCandle.AbandonedBaby.Bullish|1Candle.AbandonedBaby.Bullish|5Candle.AbandonedBaby.Bullish|15Candle.AbandonedBaby.Bullish|30Candle.AbandonedBaby.Bullish|60Candle.AbandonedBaby.Bullish|120Candle.AbandonedBaby.Bullish|240Candle.AbandonedBaby.Bullish|1WCandle.AbandonedBaby.Bullish|1M,number
Candle.DojiCandle.DojiCandle.Doji|1Candle.Doji|5Candle.Doji|15Candle.Doji|30Candle.Doji|60Candle.Doji|120Candle.Doji|240Candle.Doji|1WCandle.Doji|1M,number
Candle.Doji.DragonflyCandle.Doji.DragonflyCandle.Doji.Dragonfly|1Candle.Doji.Dragonfly|5Candle.Doji.Dragonfly|15Candle.Doji.Dragonfly|30Candle.Doji.Dragonfly|60Candle.Doji.Dragonfly|120Candle.Doji.Dragonfly|240Candle.Doji.Dragonfly|1WCandle.Doji.Dragonfly|1M,number
Candle.Doji.GravestoneCandle.Doji.GravestoneCandle.Doji.Gravestone|1Candle.Doji.Gravestone|5Candle.Doji.Gravestone|15Candle.Doji.Gravestone|30Candle.Doji.Gravestone|60Candle.Doji.Gravestone|120Candle.Doji.Gravestone|240Candle.Doji.Gravestone|1WCandle.Doji.Gravestone|1M,number
Candle.Engulfing.BearishCandle.Engulfing.BearishCandle.Engulfing.Bearish|1Candle.Engulfing.Bearish|5Candle.Engulfing.Bearish|15Candle.Engulfing.Bearish|30Candle.Engulfing.Bearish|60Candle.Engulfing.Bearish|120Candle.Engulfing.Bearish|240Candle.Engulfing.Bearish|1WCandle.Engulfing.Bearish|1M,number
Candle.Engulfing.BullishCandle.Engulfing.BullishCandle.Engulfing.Bullish|1Candle.Engulfing.Bullish|5Candle.Engulfing.Bullish|15Candle.Engulfing.Bullish|30Candle.Engulfing.Bullish|60Candle.Engulfing.Bullish|120Candle.Engulfing.Bullish|240Candle.Engulfing.Bullish|1WCandle.Engulfing.Bullish|1M,number
Candle.EveningStarCandle.EveningStarCandle.EveningStar|1Candle.EveningStar|5Candle.EveningStar|15Candle.EveningStar|30Candle.EveningStar|60Candle.EveningStar|120Candle.EveningStar|240Candle.EveningStar|1WCandle.EveningStar|1M,number
Candle.HammerCandle.HammerCandle.Hammer|1Candle.Hammer|5Candle.Hammer|15Candle.Hammer|30Candle.Hammer|60Candle.Hammer|120Candle.Hammer|240Candle.Hammer|1WCandle.Hammer|1M,number
Candle.HangingManCandle.HangingManCandle.HangingMan|1Candle.HangingMan|5Candle.HangingMan|15Candle.HangingMan|30Candle.HangingMan|60Candle.HangingMan|120Candle.HangingMan|240Candle.HangingMan|1WCandle.HangingMan|1M,number
Candle.Harami.BearishCandle.Harami.BearishCandle.Harami.Bearish|1Candle.Harami.Bearish|5Candle.Harami.Bearish|15Candle.Harami.Bearish|30Candle.Harami.Bearish|60Candle.Harami.Bearish|120Candle.Harami.Bearish|240Candle.Harami.Bearish|1WCandle.Harami.Bearish|1M,number
Candle.Harami.BullishCandle.Harami.BullishCandle.Harami.Bullish|1Candle.Harami.Bullish|5Candle.Harami.Bullish|15Candle.Harami.Bullish|30Candle.Harami.Bullish|60Candle.Harami.Bullish|120Candle.Harami.Bullish|240Candle.Harami.Bullish|1WCandle.Harami.Bullish|1M,number
Candle.InvertedHammerCandle.InvertedHammerCandle.InvertedHammer|1Candle.InvertedHammer|5Candle.InvertedHammer|15Candle.InvertedHammer|30Candle.InvertedHammer|60Candle.InvertedHammer|120Candle.InvertedHammer|240Candle.InvertedHammer|1WCandle.InvertedHammer|1M,number
Candle.Kicking.BearishCandle.Kicking.BearishCandle.Kicking.Bearish|1Candle.Kicking.Bearish|5Candle.Kicking.Bearish|15Candle.Kicking.Bearish|30Candle.Kicking.Bearish|60Candle.Kicking.Bearish|120Candle.Kicking.Bearish|240Candle.Kicking.Bearish|1WCandle.Kicking.Bearish|1M,number
Candle.Kicking.BullishCandle.Kicking.BullishCandle.Kicking.Bullish|1Candle.Kicking.Bullish|5Candle.Kicking.Bullish|15Candle.Kicking.Bullish|30Candle.Kicking.Bullish|60Candle.Kicking.Bullish|120Candle.Kicking.Bullish|240Candle.Kicking.Bullish|1WCandle.Kicking.Bullish|1M,number
Candle.LongShadow.LowerCandle.LongShadow.LowerCandle.LongShadow.Lower|1Candle.LongShadow.Lower|5Candle.LongShadow.Lower|15Candle.LongShadow.Lower|30Candle.LongShadow.Lower|60Candle.LongShadow.Lower|120Candle.LongShadow.Lower|240Candle.LongShadow.Lower|1WCandle.LongShadow.Lower|1M,number
Candle.LongShadow.UpperCandle.LongShadow.UpperCandle.LongShadow.Upper|1Candle.LongShadow.Upper|5Candle.LongShadow.Upper|15Candle.LongShadow.Upper|30Candle.LongShadow.Upper|60Candle.LongShadow.Upper|120Candle.LongShadow.Upper|240Candle.LongShadow.Upper|1WCandle.LongShadow.Upper|1M,number
Candle.Marubozu.BlackCandle.Marubozu.BlackCandle.Marubozu.Black|1Candle.Marubozu.Black|5Candle.Marubozu.Black|15Candle.Marubozu.Black|30Candle.Marubozu.Black|60Candle.Marubozu.Black|120Candle.Marubozu.Black|240Candle.Marubozu.Black|1WCandle.Marubozu.Black|1M,number
Candle.Marubozu.WhiteCandle.Marubozu.WhiteCandle.Marubozu.White|1Candle.Marubozu.White|5Candle.Marubozu.White|15Candle.Marubozu.White|30Candle.Marubozu.White|60Candle.Marubozu.White|120Candle.Marubozu.White|240Candle.Marubozu.White|1WCandle.Marubozu.White|1M,number
Candle.MorningStarCandle.MorningStarCandle.MorningStar|1Candle.MorningStar|5Candle.MorningStar|15Candle.MorningStar|30Candle.MorningStar|60Candle.MorningStar|120Candle.MorningStar|240Candle.MorningStar|1WCandle.MorningStar|1M,number
Candle.ShootingStarCandle.ShootingStarCandle.ShootingStar|1Candle.ShootingStar|5Candle.ShootingStar|15Candle.ShootingStar|30Candle.ShootingStar|60Candle.ShootingStar|120Candle.ShootingStar|240Candle.ShootingStar|1WCandle.ShootingStar|1M,number
Candle.SpinningTop.BlackCandle.SpinningTop.BlackCandle.SpinningTop.Black|1Candle.SpinningTop.Black|5Candle.SpinningTop.Black|15Candle.SpinningTop.Black|30Candle.SpinningTop.Black|60Candle.SpinningTop.Black|120Candle.SpinningTop.Black|240Candle.SpinningTop.Black|1WCandle.SpinningTop.Black|1M,number
Candle.SpinningTop.WhiteCandle.SpinningTop.WhiteCandle.SpinningTop.White|1Candle.SpinningTop.White|5Candle.SpinningTop.White|15Candle.SpinningTop.White|30Candle.SpinningTop.White|60Candle.SpinningTop.White|120Candle.SpinningTop.White|240Candle.SpinningTop.White|1WCandle.SpinningTop.White|1M,number
Candle.TriStar.BearishCandle.TriStar.BearishCandle.TriStar.Bearish|1Candle.TriStar.Bearish|5Candle.TriStar.Bearish|15Candle.TriStar.Bearish|30Candle.TriStar.Bearish|60Candle.TriStar.Bearish|120Candle.TriStar.Bearish|240Candle.TriStar.Bearish|1WCandle.TriStar.Bearish|1M,number
Candle.TriStar.BullishCandle.TriStar.BullishCandle.TriStar.Bullish|1Candle.TriStar.Bullish|5Candle.TriStar.Bullish|15Candle.TriStar.Bullish|30Candle.TriStar.Bullish|60Candle.TriStar.Bullish|120Candle.TriStar.Bullish|240Candle.TriStar.Bullish|1WCandle.TriStar.Bullish|1M,number
DonchCh20.MiddleDonchCh20.MiddleDonchCh20.Middle|1DonchCh20.Middle|5DonchCh20.Middle|15DonchCh20.Middle|30DonchCh20.Middle|60DonchCh20.Middle|120DonchCh20.Middle|240DonchCh20.Middle|1WDonchCh20.Middle|1M,number
EMA2EMA2EMA2|1EMA2|5EMA2|15EMA2|30EMA2|60EMA2|120EMA2|240EMA2|1WEMA2|1M,number
EMA3EMA3EMA3|1EMA3|5EMA3|15EMA3|30EMA3|60EMA3|120EMA3|240EMA3|1WEMA3|1M,number
EMA6EMA6EMA6|1EMA6|5EMA6|15EMA6|30EMA6|60EMA6|120EMA6|240EMA6|1WEMA6|1M,number
EMA7EMA7EMA7|1EMA7|5EMA7|15EMA7|30EMA7|60EMA7|120EMA7|240EMA7|1WEMA7|1M,number
EMA8EMA8EMA8|1EMA8|5EMA8|15EMA8|30EMA8|60EMA8|120EMA8|240EMA8|1WEMA8|1M,number
EMA9EMA9EMA9|1EMA9|5EMA9|15EMA9|30EMA9|60EMA9|120EMA9|240EMA9|1WEMA9|1M,number
EMA12EMA12EMA12|1EMA12|5EMA12|15EMA12|30EMA12|60EMA12|120EMA12|240EMA12|1WEMA12|1M,number
EMA13EMA13EMA13|1EMA13|5EMA13|15EMA13|30EMA13|60EMA13|120EMA13|240EMA13|1WEMA13|1M,number
EMA14EMA14EMA14|1EMA14|5EMA14|15EMA14|30EMA14|60EMA14|120EMA14|240EMA14|1WEMA14|1M,number
EMA15EMA15EMA15|1EMA15|5EMA15|15EMA15|30EMA15|60EMA15|120EMA15|240EMA15|1WEMA15|1M,number
EMA21EMA21EMA21|1EMA21|5EMA21|15EMA21|30EMA21|60EMA21|120EMA21|240EMA21|1WEMA21|1M,number
EMA25EMA25EMA25|1EMA25|5EMA25|15EMA25|30EMA25|60EMA25|120EMA25|240EMA25|1WEMA25|1M,number
EMA26EMA26EMA26|1EMA26|5EMA26|15EMA26|30EMA26|60EMA26|120EMA26|240EMA26|1WEMA26|1M,number
EMA34EMA34EMA34|1EMA34|5EMA34|15EMA34|30EMA34|60EMA34|120EMA34|240EMA34|1WEMA34|1M,number
EMA40EMA40EMA40|1EMA40|5EMA40|15EMA40|30EMA40|60EMA40|120EMA40|240EMA40|1WEMA40|1M,number
EMA120EMA120|1EMA120|5EMA120|15EMA120|30EMA120|60EMA120|120EMA120|240EMA120|1WEMA120|1MEMA120,number
EMA144EMA144|1EMA144|5EMA144|15EMA144|30EMA144|60EMA144|120EMA144|240EMA144|1WEMA144|1MEMA144,number
EMA150EMA150|1EMA150|5EMA150|15EMA150|30EMA150|60EMA150|120EMA150|240EMA150|1WEMA150|1MEMA150,number
EMA250EMA250|1EMA250|5EMA250|15EMA250|30EMA250|60EMA250|120EMA250|240EMA250|1WEMA250|1MEMA250,number
EMA300EMA300|1EMA300|5EMA300|15EMA300|30EMA300|60EMA300|120EMA300|240EMA300|1WEMA300|1MEMA300,number
EMA55EMA55|1EMA55|5EMA55|15EMA55|30EMA55|60EMA55|120EMA55|240EMA55|1WEMA55|1MEMA55,number
EMA60EMA60|1EMA60|5EMA60|15EMA60|30EMA60|60EMA60|120EMA60|240EMA60|1WEMA60|1MEMA60,number
EMA75EMA75|1EMA75|5EMA75|15EMA75|30EMA75|60EMA75|120EMA75|240EMA75|1WEMA75|1MEMA75,number
EMA89EMA89|1EMA89|5EMA89|15EMA89|30EMA89|60EMA89|120EMA89|240EMA89|1WEMA89|1MEMA89,number
High.1M.Date,time
High.3M.Date,time
High.5D,number
High.6M.Date,time
High.All.Calc,number
High.All.Calc.Date,time
High.All.Date,time
HullMA20HullMA20HullMA20|1HullMA20|5HullMA20|15HullMA20|30HullMA20|60HullMA20|120HullMA20|240HullMA20|1WHullMA20|1M,number
HullMA200HullMA200|1HullMA200|5HullMA200|15HullMA200|30HullMA200|60HullMA200|120HullMA200|240HullMA200|1WHullMA200|1MHullMA200,number
Ichimoku.BLine_20_60_120_30Ichimoku.BLine_20_60_120_30Ichimoku.BLine_20_60_120_30|1Ichimoku.BLine_20_60_120_30|5Ichimoku.BLine_20_60_120_30|15Ichimoku.BLine_20_60_120_30|30Ichimoku.BLine_20_60_120_30|60Ichimoku.BLine_20_60_120_30|120Ichimoku.BLine_20_60_120_30|240Ichimoku.BLine_20_60_120_30|1WIchimoku.BLine_20_60_120_30|1M,number
Ichimoku.CLine_20_60_120_30Ichimoku.CLine_20_60_120_30Ichimoku.CLine_20_60_120_30|1Ichimoku.CLine_20_60_120_30|5Ichimoku.CLine_20_60_120_30|15Ichimoku.CLine_20_60_120_30|30Ichimoku.CLine_20_60_120_30|60Ichimoku.CLine_20_60_120_30|120Ichimoku.CLine_20_60_120_30|240Ichimoku.CLine_20_60_120_30|1WIchimoku.CLine_20_60_120_30|1M,number
Ichimoku.Lead1_20_60_120_30Ichimoku.Lead1_20_60_120_30Ichimoku.Lead1_20_60_120_30|1Ichimoku.Lead1_20_60_120_30|5Ichimoku.Lead1_20_60_120_30|15Ichimoku.Lead1_20_60_120_30|30Ichimoku.Lead1_20_60_120_30|60Ichimoku.Lead1_20_60_120_30|120Ichimoku.Lead1_20_60_120_30|240Ichimoku.Lead1_20_60_120_30|1WIchimoku.Lead1_20_60_120_30|1M,number
Ichimoku.Lead2_20_60_120_30Ichimoku.Lead2_20_60_120_30Ichimoku.Lead2_20_60_120_30|1Ichimoku.Lead2_20_60_120_30|5Ichimoku.Lead2_20_60_120_30|15Ichimoku.Lead2_20_60_120_30|30Ichimoku.Lead2_20_60_120_30|60Ichimoku.Lead2_20_60_120_30|120Ichimoku.Lead2_20_60_120_30|240Ichimoku.Lead2_20_60_120_30|1WIchimoku.Lead2_20_60_120_30|1M,number
KltChnl.basisKltChnl.basisKltChnl.basis|1KltChnl.basis|5KltChnl.basis|15KltChnl.basis|30KltChnl.basis|60KltChnl.basis|120KltChnl.basis|240KltChnl.basis|1WKltChnl.basis|1M,number
Low.1M.Date,time
Low.3M.Date,time
Low.5D,number
Low.6M.Date,time
Low.After.High.All,price
Low.All.Calc,number
Low.All.Calc.Date,time
Low.All.Date,time
MACD.histMACD.histMACD.hist|1MACD.hist|5MACD.hist|15MACD.hist|30MACD.hist|60MACD.hist|120MACD.hist|240MACD.hist|1WMACD.hist|1M,number
Mom[1]Mom[1]Mom[1]|1Mom[1]|5Mom[1]|15Mom[1]|30Mom[1]|60Mom[1]|120Mom[1]|240Mom[1]|1WMom[1]|1M,number
Mom_14Mom_14Mom_14|1Mom_14|5Mom_14|15Mom_14|30Mom_14|60Mom_14|120Mom_14|240Mom_14|1WMom_14|1M,number
Mom_14[1]Mom_14[1]Mom_14[1]|1Mom_14[1]|5Mom_14[1]|15Mom_14[1]|30Mom_14[1]|60Mom_14[1]|120Mom_14[1]|240Mom_14[1]|1WMom_14[1]|1M,number
Open.All.Calc,number
Perf.10Y,number
Perf.1M.MarketCap,number
Perf.1W.MarketCap,number
Perf.1Y.MarketCap,number
Perf.3M.MarketCap,number
Perf.3Y,number
Perf.5D,number
Perf.5Y.MarketCap,number
Perf.6M.MarketCap,number
Perf.YTD.MarketCap,number
RSI2RSI2RSI2|1RSI2|5RSI2|15RSI2|30RSI2|60RSI2|120RSI2|240RSI2|1WRSI2|1M,number
RSI3RSI3RSI3|1RSI3|5RSI3|15RSI3|30RSI3|60RSI3|120RSI3|240RSI3|1WRSI3|1M,number
RSI4RSI4RSI4|1RSI4|5RSI4|15RSI4|30RSI4|60RSI4|120RSI4|240RSI4|1WRSI4|1M,number
RSI5RSI5RSI5|1RSI5|5RSI5|15RSI5|30RSI5|60RSI5|120RSI5|240RSI5|1WRSI5|1M,number
RSI9RSI9RSI9|1RSI9|5RSI9|15RSI9|30RSI9|60RSI9|120RSI9|240RSI9|1WRSI9|1M,number
RSI10RSI10RSI10|1RSI10|5RSI10|15RSI10|30RSI10|60RSI10|120RSI10|240RSI10|1WRSI10|1M,number
RSI20RSI20RSI20|1RSI20|5RSI20|15RSI20|30RSI20|60RSI20|120RSI20|240RSI20|1WRSI20|1M,number
RSI21RSI21RSI21|1RSI21|5RSI21|15RSI21|30RSI21|60RSI21|120RSI21|240RSI21|1WRSI21|1M,number
RSI30RSI30RSI30|1RSI30|5RSI30|15RSI30|30RSI30|60RSI30|120RSI30|240RSI30|1WRSI30|1M,number
RSI10[1]RSI10[1]RSI10[1]|1RSI10[1]|5RSI10[1]|15RSI10[1]|30RSI10[1]|60RSI10[1]|120RSI10[1]|240RSI10[1]|1WRSI10[1]|1M,number
RSI20[1]RSI20[1]RSI20[1]|1RSI20[1]|5RSI20[1]|15RSI20[1]|30RSI20[1]|60RSI20[1]|120RSI20[1]|240RSI20[1]|1WRSI20[1]|1M,number
RSI21[1]RSI21[1]RSI21[1]|1RSI21[1]|5RSI21[1]|15RSI21[1]|30RSI21[1]|60RSI21[1]|120RSI21[1]|240RSI21[1]|1WRSI21[1]|1M,number
RSI2[1]RSI2[1]RSI2[1]|1RSI2[1]|5RSI2[1]|15RSI2[1]|30RSI2[1]|60RSI2[1]|120RSI2[1]|240RSI2[1]|1WRSI2[1]|1M,number
RSI30[1]RSI30[1]RSI30[1]|1RSI30[1]|5RSI30[1]|15RSI30[1]|30RSI30[1]|60RSI30[1]|120RSI30[1]|240RSI30[1]|1WRSI30[1]|1M,number
RSI3[1]RSI3[1]RSI3[1]|1RSI3[1]|5RSI3[1]|15RSI3[1]|30RSI3[1]|60RSI3[1]|120RSI3[1]|240RSI3[1]|1WRSI3[1]|1M,number
RSI4[1]RSI4[1]RSI4[1]|1RSI4[1]|5RSI4[1]|15RSI4[1]|30RSI4[1]|60RSI4[1]|120RSI4[1]|240RSI4[1]|1WRSI4[1]|1M,number
RSI5[1]RSI5[1]RSI5[1]|1RSI5[1]|5RSI5[1]|15RSI5[1]|30RSI5[1]|60RSI5[1]|120RSI5[1]|240RSI5[1]|1WRSI5[1]|1M,number
RSI7[1]RSI7[1]RSI7[1]|1RSI7[1]|5RSI7[1]|15RSI7[1]|30RSI7[1]|60RSI7[1]|120RSI7[1]|240RSI7[1]|1WRSI7[1]|1M,number
RSI9[1]RSI9[1]RSI9[1]|1RSI9[1]|5RSI9[1]|15RSI9[1]|30RSI9[1]|60RSI9[1]|120RSI9[1]|240RSI9[1]|1WRSI9[1]|1M,number
RSI[1]RSI[1]RSI[1]|1RSI[1]|5RSI[1]|15RSI[1]|30RSI[1]|60RSI[1]|120RSI[1]|240RSI[1]|1WRSI[1]|1M,number
Rec.BBPowerRec.BBPowerRec.BBPower|1Rec.BBPower|5Rec.BBPower|15Rec.BBPower|30Rec.BBPower|60Rec.BBPower|120Rec.BBPower|240Rec.BBPower|1WRec.BBPower|1M,number
Rec.HullMA9Rec.HullMA9Rec.HullMA9|1Rec.HullMA9|5Rec.HullMA9|15Rec.HullMA9|30Rec.HullMA9|60Rec.HullMA9|120Rec.HullMA9|240Rec.HullMA9|1WRec.HullMA9|1M,number
Rec.IchimokuRec.IchimokuRec.Ichimoku|1Rec.Ichimoku|5Rec.Ichimoku|15Rec.Ichimoku|30Rec.Ichimoku|60Rec.Ichimoku|120Rec.Ichimoku|240Rec.Ichimoku|1WRec.Ichimoku|1M,number
Rec.Stoch.RSIRec.Stoch.RSIRec.Stoch.RSI|1Rec.Stoch.RSI|5Rec.Stoch.RSI|15Rec.Stoch.RSI|30Rec.Stoch.RSI|60Rec.Stoch.RSI|120Rec.Stoch.RSI|240Rec.Stoch.RSI|1WRec.Stoch.RSI|1M,number
Rec.UORec.UORec.UO|1Rec.UO|5Rec.UO|15Rec.UO|30Rec.UO|60Rec.UO|120Rec.UO|240Rec.UO|1WRec.UO|1M,number
Rec.VWMARec.VWMARec.VWMA|1Rec.VWMA|5Rec.VWMA|15Rec.VWMA|30Rec.VWMA|60Rec.VWMA|120Rec.VWMA|240Rec.VWMA|1WRec.VWMA|1M,number
Rec.WRRec.WRRec.WR|1Rec.WR|5Rec.WR|15Rec.WR|30Rec.WR|60Rec.WR|120Rec.WR|240Rec.WR|1WRec.WR|1M,number
SMA2SMA2SMA2|1SMA2|5SMA2|15SMA2|30SMA2|60SMA2|120SMA2|240SMA2|1WSMA2|1M,number
SMA3SMA3SMA3|1SMA3|5SMA3|15SMA3|30SMA3|60SMA3|120SMA3|240SMA3|1WSMA3|1M,number
SMA6SMA6SMA6|1SMA6|5SMA6|15SMA6|30SMA6|60SMA6|120SMA6|240SMA6|1WSMA6|1M,number
SMA7SMA7SMA7|1SMA7|5SMA7|15SMA7|30SMA7|60SMA7|120SMA7|240SMA7|1WSMA7|1M,number
SMA8SMA8SMA8|1SMA8|5SMA8|15SMA8|30SMA8|60SMA8|120SMA8|240SMA8|1WSMA8|1M,number
SMA9SMA9SMA9|1SMA9|5SMA9|15SMA9|30SMA9|60SMA9|120SMA9|240SMA9|1WSMA9|1M,number
SMA12SMA12SMA12|1SMA12|5SMA12|15SMA12|30SMA12|60SMA12|120SMA12|240SMA12|1WSMA12|1M,number
SMA13SMA13SMA13|1SMA13|5SMA13|15SMA13|30SMA13|60SMA13|120SMA13|240SMA13|1WSMA13|1M,number
SMA14SMA14SMA14|1SMA14|5SMA14|15SMA14|30SMA14|60SMA14|120SMA14|240SMA14|1WSMA14|1M,number
