field_name,field_type
EMA30EMA30EMA30|1EMA30|5EMA30|15EMA30|30EMA30|60EMA30|120EMA30|240EMA30|1WEMA30|1M,number
EMA50EMA50EMA50|1EMA50|5EMA50|15EMA50|30EMA50|60EMA50|120EMA50|240EMA50|1WEMA50|1M,number
EMA100EMA100EMA100|1EMA100|5EMA100|15EMA100|30EMA100|60EMA100|120EMA100|240EMA100|1WEMA100|1M,number
EMA200EMA200EMA200|1EMA200|5EMA200|15EMA200|30EMA200|60EMA200|120EMA200|240EMA200|1WEMA200|1M,number
free_cash_flow_yoy_growth_fy,percent
free_cash_flow_margin_fy,percent
free_cash_flow_margin_ttm,percent
free_cash_flow_qoq_growth_fq,percent
free_cash_flow_yoy_growth_fq,percent
free_cash_flow_yoy_growth_ttm,percent
gapgapgap|1gap|5gap|15gap|30gap|60gap|120gap|240gap|1Wgap|1M,percent
goodwill,fundamental_price
gross_profit_margin_fy,percent
gross_margin,percent
gross_profit_yoy_growth_fy,percent
gross_profit,fundamental_price
gross_profit_fq,fundamental_price
gross_profit_qoq_growth_fq,percent
gross_profit_yoy_growth_fq,percent
gross_profit_yoy_growth_ttm,percent
highhighhigh|1high|5high|15high|30high|60high|120high|240high|1Whigh|1M,price
HullMA9HullMA9HullMA9|1HullMA9|5HullMA9|15HullMA9|30HullMA9|60HullMA9|120HullMA9|240HullMA9|1WHullMA9|1M,number
Ichimoku.BLineIchimoku.BLineIchimoku.BLine|1Ichimoku.BLine|5Ichimoku.BLine|15Ichimoku.BLine|30Ichimoku.BLine|60Ichimoku.BLine|120Ichimoku.BLine|240Ichimoku.BLine|1WIchimoku.BLine|1M,number
Ichimoku.CLineIchimoku.CLineIchimoku.CLine|1Ichimoku.CLine|5Ichimoku.CLine|15Ichimoku.CLine|30Ichimoku.CLine|60Ichimoku.CLine|120Ichimoku.CLine|240Ichimoku.CLine|1WIchimoku.CLine|1M,number
Ichimoku.Lead1Ichimoku.Lead1Ichimoku.Lead1|1Ichimoku.Lead1|5Ichimoku.Lead1|15Ichimoku.Lead1|30Ichimoku.Lead1|60Ichimoku.Lead1|120Ichimoku.Lead1|240Ichimoku.Lead1|1WIchimoku.Lead1|1M,number
Ichimoku.Lead2Ichimoku.Lead2Ichimoku.Lead2|1Ichimoku.Lead2|5Ichimoku.Lead2|15Ichimoku.Lead2|30Ichimoku.Lead2|60Ichimoku.Lead2|120Ichimoku.Lead2|240Ichimoku.Lead2|1WIchimoku.Lead2|1M,number
industry,string
KltChnl.lowerKltChnl.lowerKltChnl.lower|1KltChnl.lower|5KltChnl.lower|15KltChnl.lower|30KltChnl.lower|60KltChnl.lower|120KltChnl.lower|240KltChnl.lower|1WKltChnl.lower|1M,number
